uuid,organization_name,location_name,street,city,state,postal_code,country,lat,lng,streetview_url
732b84fd-2262-4b90-93c6-734ef3163782,HELP USA,HELP III � Mount Hope,1780 Grand Concourse,Bronx,NY,10457,US,40.846365769454195,-73.90894560170568,
f6f5e757-5ae8-4d44-bdae-0e485cef8f42,The Salvation Army,New York Temple Corps,132 W 14th St,NEW YORK,NY,10011,US,40.7378097,-73.9986816,
f8a37ef2-eb29-4002-aec1-324c77b88f53,Mount Sinai,Hospital Adult Outpatient Psychiatry Clinic: 5th Avenue,1160 5th Ave,New York,NY,10029,US,40.788518656184486,-73.95445310752933,
5e1d5785-0aa5-4ccf-bd49-ef1e7574cce2,1199SEIU Funds,Brooklyn Office,25 Elm Pl,Brooklyn,NY,11201,US,40.689517086210756,-73.98426851939337,
4f11e4d6-b0b6-4a79-9a95-e7961c3bd8a6,The HAVEN (Harlem Achieving Excellence Now),Family Enrichment Center (FEC),"63 W 125th St, 3rd Fl",New York,NY,10027,US,40.80760155780521,-73.94451318768989,
364f84e1-1baa-432d-8b0e-b55b2284a12b,New York City Comptroller's Office,LGBTQ+ Guide of Services and Resources,1 Centre Street,New York,NY,10007,US,40.7128238,-74.00370869999999,
1f881b5d-7a83-44d5-be41-d60ec0002561,"The SEVEN (Socially, Empowered, Vibrantly, Engaged Neighborhood) Family Enrichment Center (FEC)",Queens Community House,"87-10 Northern Blvd, Ste 202",Jackson Heights,NY,11372,US,40.755821787358016,-73.87991991621051,
069b9234-5500-4a47-9b27-1dffea1b6e14,Elite Learners - Brownsville,Closed,106 New Lots Ave,Brooklyn,NY,11212,US,40.65810063029885,-73.90133268062665,
f4ba0237-801c-49ab-b6f7-75054ec682da,"CREATE, Inc.",CLOSED,133-135 W 128th St,New York,NY,10027,US,40.81049294379079,-73.94549183753078,
1c1137de-dc01-489d-9b7a-b4a53744d2f0,St. Albans Community Fridge,Closed,172-1 Linden Blvd,Jamaica,NY,11433,US,40.69238141075476,-73.77763158928748,
4854b1fe-254d-4f82-b1f2-b97bc394d1b9,Vinegar Hill Food Pantry,,228 York St,Brooklyn,NY,11201,US,40.701112674910505,-73.98103562826887,
6a494ba5-0dfe-443b-9ba6-dd5d3a2b929b,Workforce1 Career Centers - NYC Department of Labor (NYCDOL) - Small Business Services (SBS),"Brooklyn Industrial and Transportation Career Center, Brooklyn Army Terminal",80 58th St,Brooklyn,NY,11220,US,40.6461634016875,-74.02453217867284,
faf1d85e-56d1-4be9-8423-0f6debd37a55,Puerto Rican Family Institute (PRFI),Brooklyn Mental Health Clinic,12 Park St,Brooklyn,NY,11206,US,40.69934278019638,-73.93844622741365,
caaf3dbc-a97f-4364-93ef-8412cd728806,AIDS Center of Queens County,,12-07 38th Ave,Long Island City,NY,11101,US,40.757922010803334,-73.94035105600587,
cb12ff46-186c-4dc4-bd97-d797ff725cb6,f,,36-07 24th St,Long Island City,NY,11106,US,40.75837711128448,-73.93425707712403,
8f144d32-5e3d-4d1f-be99-e5b30554e77c,Urban Health Plan (UHP),Vida Guidance Center,4419 Third Ave,Bronx,NY,10457,US,40.85196860142231,-73.89314767849847,
e26dbb99-2732-4007-aa10-b9dd57c94876,Covenant House,Northern New Jersey,330 Washington St,Newark,NJ,07102,US,40.7334652065158,-74.1764757971015,
31fd1538-e3bd-4f38-999c-c0477d25a54f,Grand Street Settlement,Elizabeth Jennings P.S. 456,489 State St,Brooklyn,NY,11217,US,40.68581420203639,-73.97944638547885,
df08a661-6755-44c1-970b-347aa863e3f7,NYCDOE Department of Education Public Schools,Brooklyn Adult Learning Center,475 Nostrand Ave,Brooklyn,NY,11216,US,40.681532469559045,-73.94953145976224,
f4e16917-807a-40fd-bf6e-9e2d9878febb,The Salvation Army,Port Richmond Corps,1295 Forest Ave,Staten Island,NY,10302,US,40.626601,-74.1330831,
af78d1fa-73b9-45b1-92d2-43ae9a21703b,Goddard Riverside,Options Center,352 W 110th St,New York,NY,10025,US,40.80120489999999,-73.9603894,
2dd4dfc4-c2c0-4754-8f5c-75c507b23b61,NYC Health + Hospitals,SHOW (Street Health Outreach + Wellness) - Myrtle Ave between Marcus Garvey Blvd and Throop Ave,980 A Myrtle Ave,Brooklyn,NY,11206,US,40.69621835439872,-73.94221271698302,
49f74c0b-f484-451f-af34-2ee7e66b39a6,NYC Health + Hospitals,SHOW (Street Health Outreach + Wellness) - Beaver Street between Fayette Street and Ellery Street,7 Beaver St,Brooklyn,NY,11206,US,40.70097523994817,-73.93922215588378,
d176843f-7ad1-4e64-8199-bbd19d58b02d,NYC Health + Hospitals,Closed SHOW (Street Health Outreach + Wellness) - Lower East Side,258 Grand St,New York,NY,10002,US,40.71803153185356,-73.9934548711517,
94eeaff4-980c-47d8-beb7-e92f42c94f49,Father Creavins Food Pantry,The Parish of St. Charles Borromeo Resurrection and All Saints,211 W 141st St,New York,NY,10039,US,40.82143653242636,-73.94027657347554,
16ea987c-af4d-411f-8bbf-d7dbd1f3cc25,PureLegacee Inc.,,17 Rockaway Pkwy,Brooklyn,NY,11236,US,40.682806431294246,-73.91154776196947,
05e6f604-788f-4084-b47f-3449c17bd4e3,PureLegacee Inc.,Closed,3866 White Plains Rd,The Bronx,NY,10467,US,40.885337743303296,-73.8615977438253,
103107bf-9e2d-47c0-99a0-b9ca42b76ee3,Institute for Community Living (ICL),Rockaway Parkway Center (RPC) and Brooklyn Community Services (BCS) PROS,1310 Rockaway Pkwy,Brooklyn,NY,11236,US,40.64741659266807,-73.90511957966592,
68683fdc-a17c-47a6-b0c9-34088471c566,Mount Behavioral Health (BH),,"12 Boerum St, 2B",Brooklyn,NY,11206,US,40.70513650882083,-73.94922331106584,
d0b49a8c-c83d-46ec-b327-6b6ffeb05f81,Joseph P. Addabbo Family Health Center,Brooklyn,120 Richards St,Brooklyn,NY,11231,US,40.677729862840074,-74.00996619720202,
4066073b-312f-4c64-9a3e-ee2cb274b528,Institute for Community Living (ICL),Closed,484 Rockaway Ave,Brooklyn,NY,11212,US,40.668165975623225,-73.910589298628,
ede9e25d-be49-469b-8950-e6a1fd1519bd,Joseph P. Addabbo Family Health Center,Sutphin Blvd,114-39 Sutphin Blvd,Jamaica,NY,11434,US,40.68524132577648,-73.7928511064845,
f058c994-1f55-479e-89fe-83c014d6b19f,Joseph P Addabbo Family Health Center,Guy Brewer Boulevard Jamaica,118-11 Guy R Brewer Blvd,Jamaica,NY,11434,US,40.683655085974735,-73.78237449981403,
56f62390-ed3c-46f4-87d5-16dcc3071c27,New York Common Pantry (NYCP),Closed,1290 Hoe Ave,The Bronx,NY,10459,US,40.8307829,-73.890237,
2cf321f3-0348-4aec-a4f0-1b45a4b2227d,Jewish Queer Youth (JQY),Midtown,1460 Broadway,New York,NY,10036,US,40.75513659967037,-73.98633963562607,
ac70737b-3d9d-4aff-9aba-710d6289da12,"Rising Ground (FKA Sheltering Arms, Episcopal Social Services)",Jamaica DYCD Youth Drop-in Center - Safe Space (grey door between Tabernacle of Prayer and Hot Point),165-13 Jamaica Ave,Jamaica,NY,11432,US,40.705831,-73.794418,
854da114-a0d6-4cc1-9f09-d9372e93b47e,100 suits,,20117 E Trimmer Springs Rd,Sanger,CA,93657,US,36.771266766185164,-119.43089283395996,
38306dea-c02b-4e27-821a-1fe148277243,Dominican Women's Development Center (DWDC),New La Sala Drop-In Center,309 Audubon Ave 6 Fl,New York,NY,10033,US,40.84844095593341,-73.93235756854308,
f2806d43-6274-4f76-b56b-a0600891a96a,1,,755 Main St,New York,NY,10044,US,40.766919673453565,-73.94557149416505,
4384a17b-3fc9-4679-9d91-ece00dbc6b37,1,,1000 Main St,New York,NY,10044,US,40.769235228471004,-73.94280021411133,
485da098-2857-4126-b1b1-f18577293180,RiseBoro,Youth Center,1474 Gates Ave,Brooklyn,NY,11237,US,40.69734150519369,-73.91343888189992,
ce458651-ff28-4120-8f2a-0e12dd8b548c,test,,851 Main St,New York,NY,10044,US,40.7678297480915,-73.94488484865724,
6fcafdf9-2faa-4425-a244-e38a4fec8500,George Bruce Library,,516 Dr Martin Luther King Jr Blvd,New York,NY,10027,US,40.81378867901921,-73.95697809236353,
b04187f7-74ac-4a1c-8eca-5dfa1bbd584d,test,,518 W 125th St,New York,NY,10027,US,40.813833242857946,-73.95695604438158,
6f54bdb2-a340-459e-aadf-f133a8b465e2,Sun River Health (FKA Brightpoint),,328 E 150th St,Bronx,NY,10451,US,40.81736916707557,-73.92026489079075,
1f3e1501-1389-4ed7-b054-40337ef8586c,Chelsea Recreation Center,,430 West 25th St,New York,NY,10001,US,40.74827532724713,-74.0020540053149,
f0223ad9-3110-4df9-97c6-3bbfb2165219,Center for Urban Community Services (CUCS),Paul's Place,114 W 14th St,New York,NY,10011,US,40.73751920869909,-73.99773861120796,
7f310619-cc00-467d-a284-67c8821b9f4f,Rising Ground,Article 31 Clinic,165-13 Jamaica Ave,Jamaica,NY,11432,US,40.70580685459687,-73.79450248958396,
59ff1726-6260-454a-890c-37feda37524d,Adult Career and Continuing Education Services (ACCES-VR),"Adam Clayton Powell Jr. State Office Building, Harlem Satellite Office",163 West 125th St Rm 713,New York,NY,10027,US,40.809295375602176,-73.94759579838258,
3a72f664-70c8-4908-a051-7beb19deb299,Bergen County Government,Division of Senior Services,1 Bergen County Plaza,1 Bergen County Plaza,NJ,07601,US,40.87719591178346,-74.04326403904626,
31dc0ce1-6a9b-401c-97f3-f8fcdddbe37e,Homecrest Community Services (HCS),Sheepshead Bay Center,1413 Avenue T,Brooklyn,NY,11229,US,40.60145238454515,-73.95718009877287,
77cb17e2-fcc4-4c48-9fef-065889de92c1,Crown Heights Library,,560 New York Ave,Brooklyn,NY,11225,US,40.66120447795347,-73.94789526378501,
c9c941c4-d1da-48dc-8f7d-2a1a9b1bdaab,Alzheimer's Association,New York City Chapter,60 E 42nd St #2240,New York,NY,10165,US,40.75235983334138,-73.97868820966644,
ebfa581f-3a95-4ce8-aa52-e6b5fedcdaa3,Staten Island Mental Health Society,Richmond University Medical Center (RUMC) - Theurer Family Health Center,800 Castleton Ave,Staten Island,NY,10310,US,40.63448751518779,-74.10924049266485,
6d4e679f-c603-4a59-aae5-15d7d064f039,HELP USA,Homebase Office,1981 Sedgwick Ave,Bronx,NY,10453,US,40.856866588306794,-73.91679949398504,
552ae6a9-617c-40ae-a2ed-bc9f695d8a22,Asian Americans for Equality (AAFE),Lower East Side,111 Norfolk St,New York,NY,10002,US,40.719140944891926,-73.98719633895107,
74890e36-f4f4-42f0-855c-749031e4fe73,RiseBoro,Brownsville II,145 E 98th St,Brooklyn,NY,11212,US,40.66367176620189,-73.92103283586879,
163fef5a-49e0-48af-b87e-ac4ab674b41a,RiseBoro,Brownsville I,"1875 Broadway, 1st Fl",Brooklyn,NY,11207,US,40.68079206894106,-73.90633140340773,
1aaf0e27-60fb-42f1-8aa6-963f95519b42,CAMBA,Homebase at Bedford-Stuyvesant,"1958 Fulton St, 1st Floor",Brooklyn,NY,11233,US,40.678628122100584,-73.92016870778517,
7c28c882-1126-422e-8c04-4ff15d6ae724,Catholic Charities Neighborhood Services,East Flatbush,1900A Ralph Ave,Brooklyn,NY,11234,US,40.631016171194744,-73.91915653412153,
41df1a49-0a2b-4f5c-a116-3a0e469654a6,Catholic Charities Neighborhood Services,East New York II,560 Livonia Ave,Brooklyn,NY,11207,US,40.66431914651764,-73.89622722448048,
8baf4bef-4a8e-47be-969d-a534b28eccc8,Catholic Charities Neighborhood Services,Jamaica,"161-10 Jamaica Ave, 5th Fl",Jamaica,NY,11433,US,40.70400549712756,-73.79796741985616,
95888a0f-c6a4-4294-ad9c-90852c330a3a,CAMBA,St. George,"120 Stuyvesant Pl, 4th Fl, Ste 413",Staten Island,NY,10301,US,40.64333557992198,-74.07764858550865,
b006d271-6738-42f7-a4f9-5407558cf565,CAMBA,Tompkinsville,209 Bay St,Staten Island,NY,10301,US,40.637072463627845,-74.07599085607112,
71e6c46e-000e-420f-adde-79954f8dff4a,Services for the UnderServed (S:US) (formerly Palladia),East Harlem Urgent Housing Programs,"2322 3rd Ave, 3rd Fl",New York,NY,10035,US,40.80472941689454,-73.9353563905623,
308a43b9-dd25-4a3f-a031-b1dc3ee36f79,RiseBoro,Bushwick North,"380 Grove St, 1 Fl",Brooklyn,NY,11237,US,40.70036722850885,-73.9134196176011,
d4516998-cca4-4780-b215-23c9ec3ae1c2,RiseBoro,Bushwick,90 Beaver St,Brooklyn,NY,11206,US,40.69926907990108,-73.93664885726285,
4e3697e3-6b22-41da-9867-361cf43d38dd,Catholic Charities Neighborhood Services,East New York,3060 Fulton St,Brooklyn,NY,11208,US,40.68067602694285,-73.88181315894515,
272bf16c-1483-4157-9bbf-c642f34ab75b,CAMBA,Crown Heights,1117 Eastern Pkwy,Brooklyn,NY,11213,US,40.66931592951207,-73.93133504974465,
0718f9da-9d49-4bde-bfff-f2db8fd55f69,CAMBA,,1117 Eastern Pkwy,Brooklyn,NY,11213,US,40.66930577273529,-73.9313287005198,
dd2d2025-a952-4c8f-af30-bd3aaef24776,CAMBA,,1117 Eastern Pkwy,Brooklyn,NY,11213,US,40.66940697051904,-73.93135262598831,
ed0abdbb-5137-4ab8-984d-088dcf05de99,St. John the Baptist,Crossroads Food Pantry,213 W 30 St,New York,NY,10001,US,40.749391,-73.99267,
0efdb041-8d7c-403e-9ae1-5febcb4c2b67,Haitian Women for Haitian Refugees,MAIL COLLECTION ONLY,P.O. Box 100372,Brooklyn,NY,11226,US,40.643162203541706,-73.94718300563284,
772245f3-dd84-4781-802b-3e9f7d42672d,Commonpoint Queens,Youth Opportunity Hub,82-17 Parsons Blvd,Jamaica,NY,11432,US,40.71806875810557,-73.80825907096583,
c46355e7-7db4-428a-b323-f978ff912a8b,Hamilton Morningside Heights Family Enrichment Center (FEC),America Works of New York,30 Morningside Dr,New York,NY,10025,US,40.80446120882702,-73.9605256358029,
259adb71-e43e-4707-9588-657564a74bb8,WHIN (Washington Heights Inwood Neighborhood) Family Enrichment Center (FEC),Children's Arts & Science Workshops Inc.,4320 Broadway,New York,NY,10033,US,40.852263300830394,-73.93436289943664,
34ca0ab0-6caa-45d8-a29a-9595fb3bfb58,"RISE UP (Resilience, Inclusion, Support, and Empowerment for Uniting People) Family Enrichment Center (FEC)",Center for Family Life in Sunset Park,"341 39th St, Ste 604",Brooklyn,NY,11232,US,40.65343633535289,-74.00721741952752,
fd3e7430-950d-4570-a0ec-0d240e45be6d,Family Enrichment Center (FEC) - Circle of Dreams,A location of Bridge Builders. Red door entrance,266 E 165 St,Bronx,NY,10456,US,40.829298294875535,-73.916740930497,
d180afac-500c-4c64-80d2-dcb7f3fd205a,Make the Road New York (MRNY),Corona,104-19 Roosevelt Ave,Corona,NY,11368,US,40.74979705532607,-73.86142342494158,
add76abc-d6ef-4f04-9d16-05d44e1c7d15,Southside Community Mission of Transfiguration Church,,280 Marcy Ave,Brooklyn,NY,11211,US,40.70492354214037,-73.9559561279881,
777a06f3-3a62-4b3d-8495-f1a6e6a668e1,BMS Family Health and Wellness Centers,Duplicate,592 Rockaway Ave,Brooklyn,NY,11212,US,40.663902352919,-73.9094530632696,
93ef12eb-0976-46f4-90a4-ddc837a2e858,JASA (Jewish Association Serving the Aging),Einstein Older Adult Center,135 Einstein Loop E,Bronx,NY,10475,US,40.864314750542086,-73.82231644270207,
60345ee8-707c-4ae0-9dc4-9636448ea1ab,Long Island Jewish Forest Hills Hospital,"Northwell, Emergency Department",102-01 66th Rd,Forest Hills,NY,11375,US,40.729154869176135,-73.85169200271034,
a2c8503e-e899-4f26-bd23-2ef52073235f,Keep it Simple and Safe (KISS),,548 E 183rd St,Bronx,NY,10458,US,40.85441491298898,-73.89079827212116,
8adcc30a-8d2e-492d-a080-be02eb391f51,Keep it Simple and Safe (KISS),Closed,201-205 Coles Ln,Bronx,NY,10458,US,40.86299582482649,-73.89401863050895,
bfc34b94-e898-410e-a36f-4802851b6b2d,Educational Alliance,Project Contact/Pride Site II/Center For Recovery and Wellness (CRW),25-29 Avenue D,New York,NY,10009,US,40.72098794110144,-73.97818200076101,
121962c3-e040-449d-adc8-81ae87e7798d,BMS Family Health and Wellness Centers,Life and Wellness Center,408 Rockaway Ave,Brooklyn,NY,11212,US,40.67013244183462,-73.91100469737167,
76b0b6b6-f0dc-47dc-8c1e-371f6af76ae0,Transfiguration Church,Not Providing Services,263 Marcy Ave,BROOKLYN,NY,11211,US,40.7053132,-73.95579459999999,
c31d0801-091b-42d7-9ae4-2055b8bd9344,BMS Family Health and Wellness Centers,Dumont,407 Dumont Ave,Brooklyn,NY,11212,US,40.665013709393904,-73.90424549958583,
03922916-eb5e-44ce-83ac-d340ba81cca8,Bedford-Stuyvesant Family Health Center (BSFHC),,803 Sterling Pl,Brooklyn,NY,11216,US,40.67277623035449,-73.95189937359193,
bd00614a-6e4b-4d9b-85e4-cb9e8c0e33db,Bedford-Stuyvesant Family Health Center (BSFHC),Broadway Family Health Center,1238 Broadway,Brooklyn,NY,11221,US,40.691570687563676,-73.92599230896198,
0af52dea-e769-492e-992b-8c22aa84bb11,Center for Family Representation (CFRNY),Staten Island Office,"25 Hyatt St, Ste 300",Staten Island,NY,10301,US,40.64206503389628,-74.07734091766457,
2f0e7060-391b-4086-b987-23ff7c113fbb,Center for Family Representation (CFRNY),Bronx Office,190 E 162nd St,Bronx,NY,10451,US,40.82716003620407,-73.92105514184618,
8990f94e-36a2-4726-8843-52549f803053,Center for Family Representation (CFRNY),Queens Office,"89-14 Parsons Blvd, 2nd Fl",Jamaica,NY,11432,US,40.70536221381314,-73.80178423719242,
33aaa49d-e67a-4627-9d6b-eacd6c055975,Housing Works,Cylar House Community Health Ctr.,743-749 E 9th St,New York,NY,10009,US,40.724683056900965,-73.97614434001972,
5384d77b-ef75-448c-a494-4b6b1774f9f0,Catholic Charities Community Services,Woodlawn,4377 Bronx Blvd,Bronx,NY,10470,US,40.89968361639912,-73.85819224960505,
b8b34f30-7ad3-455f-97ba-8fdd41bccc9c,Catholic Charities Community Services,Bronxdale,2901 White Plains Rd,Bronx,NY,10467,US,40.86809166837635,-73.86753884036035,
11b930b8-1133-4c96-9ace-43d1b8b46f08,Catholic Charities Community Services,Hunts Point,890 Garrison Ave,Bronx,NY,10474,US,40.816682989482636,-73.89072318734061,
5c7182da-54b5-45b6-8be5-aee9c25177cb,JASA (Jewish Association Serving the Aging),Sue Ginsburg Older Adult Center,975 Waring Ave,Bronx,NY,10469,US,40.861486637531755,-73.85929272093885,
6ba95790-e76f-4a98-a7fa-057b08f21d24,JASA (Jewish Association Serving the Aging),Bartow Older Adult Center,"2049 Bartow Ave, Rm 31",Bronx,NY,10475,US,40.87081600984982,-73.82945374521138,
9804a84b-e1ba-467b-92d1-a99cc6028c33,Catholic Charities Community Services,Unionport,2155 Blackrock Ave,Bronx,NY,10472,US,40.82905097615954,-73.85137327088113,
ed06ad2a-1a48-4d84-8de2-75a63f900f73,Catholic Charities Community Services,Central Harlem Parish and Community Outreach,34 W 134th St,New York,NY,10037,US,40.8127334,-73.9398989,
c9ba5d3d-ad5c-4bf9-99dc-742b3f615800,Catholic Charities Community Services,,2155 Blackrock Ave,Bronx,NY,10472,US,40.82906894519707,-73.85140199155494,
60a5bc8f-18c9-410e-accc-e6eef585b79b,NYS Commission for the Blind (NYSCB),"District 8 Office, Harlem","163 W 125th St, Rm 209",New York,NY,10027,US,40.8092343,-73.9474317,
324aea46-6dc8-42f6-892c-bfaf612bd1cb,Children of Promise (CPNYC),Bronx,1842 Webster Ave,Bronx,NY,10457,US,40.84664297624089,-73.90117193205381,
6541f292-94c0-46ba-a5ee-275224475941,Center for Family Representation (CFRNY),Headquarters,40 Worth St,New York,NY,10013,US,40.717271554716405,-74.00699850723795,
699fc06c-eff8-4fab-926b-4e995daa2be7,BronxCare,"Dr. MLK, Jr. Health Center (Main Site)",1265 Franklin Ave,Bronx,NY,10456,US,40.83142504680992,-73.9026378898454,
c99bd8f8-08b1-48ef-b8d6-44b2376d3173,NewYork-Presbyterian Weill Cornell Hospital Center for Special Studies,Judith Peabody Wellness Center David E. Rogers Unit,"34 W 24th St, 6 Fl",New York,NY,10010,US,40.74293293694271,-73.99133207034214,
ab394e8b-948f-4f56-876d-61e111a0a716,BMS Family Health and Wellness Centers,Main Location,592 Rockaway Ave,Brooklyn,NY,11212,US,40.66538650270579,-73.90995038057689,
c2e24ba7-6adf-4c87-8c7e-f11d0c44d476,Bridge Back to Life Center,Staten Island,1688 Victory Blvd,Staten Island,NY,10314,US,40.61304943556817,-74.12000642164418,
29ccb897-54ee-4557-9382-d33931f352b9,Bridge Back to Life Center,Downtown Brooklyn,"175 Remsen St, 10th Fl",Brooklyn,NY,11201,US,40.6934999,-73.9913649,
2e4f0dae-987a-4a16-ab4d-ae161927ac57,Bridge Back to Life Center,Southern Brooklyn,"3044 Coney Island Ave, 3rd Fl",Brooklyn,NY,11235,US,40.582405239147676,-73.96029605767282,
d84f98d7-a885-41e9-96df-51912c9f1d1d,BronxCare,Grand Concourse,1775 Grand Concourse,Bronx,NY,10453,US,40.8464841131726,-73.90993601361635,
c34693bc-2371-4be0-b992-91b230c64158,BronxCare,Poe,2432 Grand Concourse,Bronx,NY,10458,US,40.86071861020827,-73.89764575129439,
34a47a4d-7e7f-4923-8e96-e131c2abf4ae,BronxCare,Health and Wellness Center at 199,199 E Mt Eden Ave,Bronx,NY,10457,US,40.843216132676424,-73.909766080697,
e54b958b-053f-4d5e-853c-b20c15ab1517,CUNY Bronx Community College (BCC),Access Resource Center (ARC),2155 University Ave,The Bronx,NY,10453,US,40.8575311,-73.91287319999999,
7ccf57c2-e647-4b08-a220-f0011c80b4a7,Grand Street Settlement,Seward Park Community Center,56 Essex St,New York,NY,10002,US,40.71683213614734,-73.98862439234682,
b939db79-634a-4805-b740-28c9cfe6af68,Mercy Center,Second Location,"332 E 149th St, 8th Fl",Bronx,NY,10451,US,40.81653568492265,-73.92028703401574,
6e9cb2b9-a0db-459f-a752-17aa5ffa8d06,Test,,925-927 Park Ave,New York,NY,10028,US,40.77634679509265,-73.95952702636717,
c6c5c134-7e97-4855-8802-82db58ca51d1,Test,,227 E 69th St,New York,NY,10021,US,40.767208057346814,-73.96047116394041,
96d8e0fe-48fc-40e6-88e2-c7881291215c,Grand Street Settlement,Baruch Houses Community Center,605 FDR Dr,New York,NY,10003,US,40.71828988274686,-73.97555201606885,
41f753d7-3d2f-4bc0-bf9c-cf0671783b39,Grand Street Settlement,Tompkins Community Center,736 Park Ave,Brooklyn,NY,11206,US,40.69771521160939,-73.94604314798121,
81944cb7-e348-4d24-868d-9351fe313200,Grand Street Settlement,Marcus Garvey Community Center,353 Chester St,Brooklyn,NY,11212,US,40.663143020121026,-73.90985276650035,
ae141704-4e85-48b5-b94b-102fbdc58745,Acacia Network,J-CAP VETS and Thomas & Marie White Health Center,116-30 Sutphin Blvd,Jamaica,NY,11434,US,40.681947,-73.792813,
ee60d902-bb2a-4345-9d0d-eb3aedb44f15,Acacia Network,Park Avenue Family Health Center,4196 Park Ave,Bronx,NY,10457,US,40.84710151488826,-73.8992268823008,
65ce333a-65c3-426f-ab46-e1670d6764c2,Weeks Educational and Social Advocacy Project - Creative Learning Academy,Brooklyn,317 Albany Ave,Brooklyn,NY,11213,US,40.669749742280594,-73.93920462815939,
790e8513-fdc7-4677-b801-08793f9c45e9,Hudson Guild,"NY Connects, Fulton Senior Center",119 9th Ave,New York,NY,10011,US,40.74326586162905,-74.00405747739862,
